lep1_pt,lep2_pt,lep3_pt,lep1_charge,lep2_charge,lep3_charge,lep1_d0,lep2_d0,lep3_d0,lep1_d0sig,lep2_d0sig,lep3_d0sig,lep1_e,lep2_e,lep3_e,lep1_eta,lep2_eta,lep3_eta,lep1_phi,lep2_phi,lep3_phi,lep1_ptvarcone30,lep2_ptvarcone30,lep3_ptvarcone30,lep1_topoetcone20,lep2_topoetcone20,lep3_topoetcone20,lep1_z0,lep2_z0,lep3_z0,jet_n,met,met_phi
56.737366,14.483959,14.453396,-1,1,-1,0.008295543,0.1131634,-0.038443435,0.4954843,4.554884,-0.98864686,89.7337,42.996033,39.078003,-1.0320646,-1.7515538,-1.6516774,-1.9335861,2.0490918,2.0301008,0.0,23.398207,42.75983,1.144346,16.474426,20.402588,0.03860092,-0.27413177,-0.09173584,0,39.47888,0.10485417
16.551205,15.432739,14.751415,1,-1,1,-0.0029434233,7.785765e-05,-0.22664045,-0.17887339,0.0043779574,-11.372529,17.644718,16.421211,16.268875,0.36153445,0.35602808,0.449782,-3.065461,-3.073197,2.7464333,65.67971,66.697655,1.0179458,194.23946,209.75354,2.166998,0.02915001,-0.03268051,0.019947052,2,170.40509,-2.8106341
107.83006,35.905926,11.303198,1,-1,-1,-0.121637285,0.3697578,-0.091107205,-3.9322526,6.1309705,-2.821959,138.01904,38.112328,11.976484,-0.73184687,0.34879866,0.34346414,2.1888309,-1.1583918,-1.1047525,0.0,5.8705463,9.362818,-0.6714305,33.705837,38.858562,0.056941986,-0.18157578,0.20587158,1,45.79945,-2.3867955
366.65213,147.00786,12.74964,-1,-1,1,-0.006975742,0.032858133,-0.24198769,-0.48337686,2.1127772,-7.1333,679.9947,254.31514,33.581562,1.2286204,1.1447237,1.6234652,2.3460274,-0.78345037,0.6981487,0.0,0.0,32.539146,7.060749,-0.019419616,16.761324,0.002735138,-0.041988373,-0.5931053,0,219.74821,-1.0864016
28.571629,17.096853,7.6459165,1,1,-1,0.0054715197,0.017014964,-0.019717038,0.26449764,1.0123852,-0.6846197,48.85936,28.952162,12.915069,-1.1305197,-1.1184309,-1.115297,-1.2350098,-2.638731,-2.6394243,0.0,2.6119246,12.62245,0.31707367,18.085354,26.535711,-0.002940178,0.06503391,-0.025269508,2,42.55157,0.16579024
109.07683,10.649485,18.643055,1,-1,-1,-0.020588553,-0.010471151,0.0028148533,-1.2369092,-0.25652713,0.20196572,152.96399,15.033072,18.949696,-0.86941004,-0.8787797,0.18103787,-0.48685285,-0.4946655,1.9434239,9.127463,298.62042,0.0,14.249148,66.77382,-0.26338038,0.08557987,0.009560585,-0.07303238,0,547.4572,2.7510595
39.24853,17.4226,33.813248,1,1,-1,-0.013952225,-0.01675131,-0.009626039,-0.85307306,-0.6050155,-0.6514085,60.248173,26.744617,38.340244,0.99312943,0.99313843,-0.5118458,-0.5755852,-0.55486166,0.5283706,0.0,0.0,0.0,41.135826,46.760647,-0.10659985,0.0049324036,0.008758545,0.088962555,3,67.888824,-1.6018863
51.37973,37.13672,10.012504,1,-1,1,-0.021979135,-0.0116492575,-0.02662712,-0.87882173,-0.6372133,-1.0422484,294.81552,66.93124,18.158947,2.4325721,-1.1944412,-1.2019662,-1.0523098,-0.27118978,-0.3165079,0.0,12.857434,26.422922,0.35856494,29.831188,44.031155,-0.11538696,0.023159027,0.18087769,2,83.954956,-1.3655674
99.37525,16.944685,8.861453,1,-1,1,-0.001372776,-0.004818983,0.027957408,-0.03838069,-0.1566642,0.99439085,521.44385,55.513138,28.51894,-2.3416395,-1.8556615,-1.8369439,-1.212613,1.9184043,1.8628876,0.0,19.319695,24.85469,0.6254674,49.944923,52.170628,0.0942955,-0.01190567,-0.25896072,1,67.151764,1.8820492
8.089859,7.534614,138.73561,-1,-1,1,3.00342,-0.010353373,-0.0064768395,14.369236,-0.023847586,-0.55135375,35.413624,34.469868,183.36116,-2.1563234,-2.2015603,0.781993,-2.3656814,-2.3031588,1.5659955,269.40598,249.14233,0.0,222.65312,216.79822,-0.4814452,-19.598251,-3.564148,0.040790558,2,249.14165,1.0799472
