lep1_pt,lep2_pt,lep3_pt,lep1_charge,lep2_charge,lep3_charge,lep1_d0,lep2_d0,lep3_d0,lep1_d0sig,lep2_d0sig,lep3_d0sig,lep1_e,lep2_e,lep3_e,lep1_eta,lep2_eta,lep3_eta,lep1_phi,lep2_phi,lep3_phi,lep1_ptvarcone30,lep2_ptvarcone30,lep3_ptvarcone30,lep1_topoetcone20,lep2_topoetcone20,lep3_topoetcone20,lep1_z0,lep2_z0,lep3_z0,jet_n,met,met_phi
110.60817,51.99085,101.99988,-1,1,1,0.01718715,-0.01094179,-0.010105993,1.318605,-0.59121525,-0.867546,133.51878,153.2635,150.3481,0.63301325,1.7441424,-0.9387984,-0.7270191,-0.6541325,2.4131768,0.0,0.0,0.0,-0.8899082,-0.52460563,-0.662363,-0.0033979416,-0.046730995,0.046037674,0,36.58267,2.7078063
56.469788,72.79628,45.727207,1,1,-1,0.0036665476,0.02314339,0.004677476,0.25606775,1.7934407,0.34883317,66.45949,185.03487,46.414764,-0.58637947,1.5848706,0.17318158,2.248952,-0.017048843,0.043109838,0.0,0.0,0.0,-0.15838483,1.2148564,-0.43232214,-0.010618366,0.005850114,-0.0012958422,4,89.472755,-2.5943422
17.376144,13.777513,10.20021,1,-1,1,-0.016817315,-0.006475746,-0.008105476,-0.78717965,-0.37093815,-0.31744292,17.565262,14.215477,10.232772,-0.1474048,0.251481,0.07988205,-2.0477278,-1.7911838,-1.1113315,0.0,0.0,0.0,-0.33581957,0.9163928,0.61631334,0.06769323,-0.06668568,-0.085566044,1,12.417443,1.8627117
32.523064,19.738306,7.934232,1,-1,1,-0.026463628,0.0061107734,0.031524017,-1.1915336,0.38413152,1.4216585,33.657578,24.176788,11.677768,-0.2633719,-0.65863425,-0.9367252,1.827433,1.9350023,2.0944633,0.0,0.0,0.0,-0.8538763,-0.58212596,0.952853,-0.13456917,0.054646492,-0.009868622,1,28.231014,1.6056187
43.929478,35.100273,17.540415,1,-1,1,-0.008438309,-0.0020153157,-0.022950225,-0.35553467,-0.12655312,-1.2613102,123.37206,35.808792,75.70159,-1.6924464,0.20058897,-2.1417375,1.8211557,3.0100543,2.0417562,0.0,0.0,0.0,0.3368055,-0.109676816,-0.60813737,0.071353674,-0.11318207,0.008741856,2,94.946884,-0.54984224
69.60698,35.327934,23.511293,-1,1,-1,0.0066724857,-0.030852314,0.004527117,0.46398002,-0.81216514,0.3204165,80.22275,43.723694,24.04078,-0.5454978,-0.6764519,-0.21178596,0.11289948,2.5133476,0.43073297,0.0,0.0,0.0,0.9730769,-0.3030852,-0.793125,0.010803223,-0.008381844,-0.01582241,3,95.2717,2.3062696
33.374912,107.73307,17.831064,1,1,-1,-0.013111683,-0.011398922,-0.011219398,-0.6521008,-0.9860627,-0.7841396,97.934425,345.7479,20.364668,-1.7392538,1.833993,0.5269378,1.8333278,-0.2913243,1.3502555,0.0,0.0,0.0,0.72619724,0.3096412,1.6750572,-0.07822037,-0.040130615,-0.0015144348,1,38.8582,-2.7903228
48.164104,9.973678,62.869095,1,-1,1,0.012857121,-0.0064345747,0.006419672,0.6127729,-0.3373183,0.48879606,87.03834,10.119166,292.47705,-1.1976547,0.17027538,-2.2187219,2.5516207,0.41831723,3.1408885,0.0,0.0,2.8531938,-0.60592824,2.5330303,-0.5148461,0.028259277,-0.06425476,-0.063201904,3,18.647623,-0.2449676
111.757126,52.299717,23.179064,1,-1,1,-0.024282623,-0.039665975,-0.03136999,-1.8433495,-2.7555256,-1.880691,115.35869,89.898636,46.185627,0.25319976,1.1368723,1.3126504,2.5825934,1.8483887,-0.49249002,0.0,0.0,0.0,0.60943437,1.8417406,-0.0103587955,0.0033980012,0.07176107,-0.4237041,4,28.269543,-1.221021
195.42058,37.28229,24.710688,1,-1,1,0.0035805046,9.783659e-05,0.06179373,0.2552324,0.0065977653,2.6749148,203.84058,38.252934,70.2179,0.29250872,-0.2276957,-1.7050081,-0.20840815,-1.3345032,-2.7467577,0.0,0.0,0.0,2.664184,1.6410571,1.1113693,0.120212555,0.0033111572,0.07715225,2,73.515915,-0.21593614
31.826633,15.820389,32.906315,-1,1,1,0.0015861114,-0.018358413,-0.0044738534,0.06728717,-0.8003419,-0.30244842,33.691917,16.329487,129.69241,-0.34071684,-0.2530167,2.0481505,-2.170267,-1.8531805,-0.9120482,0.0,2.1677535,0.0,0.7445161,1.5596064,-0.30426097,0.054008484,0.065006256,0.06578064,1,60.011375,1.219126
54.005547,20.688717,7.3054457,-1,-1,1,-0.001734701,0.010140662,-0.06647235,-0.12505743,0.60017246,-1.6071252,126.13311,79.49631,39.237522,1.4920508,2.0218892,2.3653758,1.2349728,1.8119341,2.7483273,0.0,0.0,0.0,-0.052922606,0.5686837,1.0324847,0.031723022,-0.025012493,0.07826948,2,50.576347,3.0445728
52.811954,44.87805,25.283705,1,1,-1,-0.18388993,-0.0054599484,0.006134458,-3.278798,-0.3534908,0.30388343,54.618134,44.94693,57.097813,-0.26079512,0.05539645,1.4546757,1.5240668,0.40765455,-2.7810102,0.0,0.0,0.0,-1.1808755,1.0977138,0.19013502,-0.37368774,-0.20532417,-0.12927055,3,5.597112,-0.07032744
