lep1_pt,lep2_pt,lep3_pt,lep1_charge,lep2_charge,lep3_charge,lep1_d0,lep2_d0,lep3_d0,lep1_d0sig,lep2_d0sig,lep3_d0sig,lep1_e,lep2_e,lep3_e,lep1_eta,lep2_eta,lep3_eta,lep1_phi,lep2_phi,lep3_phi,lep1_ptvarcone30,lep2_ptvarcone30,lep3_ptvarcone30,lep1_topoetcone20,lep2_topoetcone20,lep3_topoetcone20,lep1_z0,lep2_z0,lep3_z0,jet_n,met,met_phi
112.544945,30.853115,9.480416,1,-1,-1,-0.0048789447,0.0059395526,0.025029225,-0.3803548,0.41007197,1.0057809,145.36804,31.002335,9.693791,0.74629354,-0.09831139,-0.21176912,-2.2111244,2.6961782,0.6011685,0.0,0.0,27.447796,-0.79542077,0.6161649,30.940777,0.04111576,-0.11400318,0.02755642,4,29.102346,-0.4410865
56.56151,26.38149,9.379617,-1,1,1,-0.0018025411,-0.02503638,-0.14281121,-0.123508126,-1.4016261,-7.1318355,116.71387,27.595978,10.377257,1.3528595,0.30228025,-0.4572281,1.275496,-2.3021936,2.7807806,0.0,0.0,0.0,-1.0145669,0.8731036,1.2667187,-0.055631638,0.029260635,-0.071308136,1,10.094396,0.26881045
362.3489,236.6384,8.146823,1,-1,-1,-0.07002117,-0.015481984,-0.015481984,-3.606453,-0.7713972,-0.7713972,416.6834,253.25081,8.718744,-0.5410106,-0.37254623,-0.37254623,0.66374284,0.9032216,0.9032216,0.0,0.0,53.332294,0.78847265,1.335782,60.954185,0.062084198,0.0650959,0.0650959,3,6.5965805,0.5875234
122.99776,28.464745,14.638143,-1,-1,1,0.0042440826,0.2221988,-0.045514267,0.22786537,8.841079,-1.5337622,177.88705,29.823126,14.696456,-0.9127225,-0.307723,-0.08923003,-3.0439525,1.008342,0.31843504,0.0,0.0,0.0,0.7975923,21.757252,0.9770594,-0.04666519,-0.3475952,0.109306335,2,240.69167,1.0860227
105.75927,7.9508634,7.075677,1,1,-1,0.017490052,-0.29015553,0.036386464,1.3779529,-8.144014,1.748059,113.59535,8.485378,7.544229,-0.3826127,0.3646566,0.3619446,-0.714559,1.8713706,1.8617733,0.0,2.5070913,2.5070913,-1.0492651,2.9084363,2.0989747,-0.03059864,-0.27849865,-0.087387085,3,10.664262,3.0895376
94.51502,43.62935,24.76354,-1,-1,1,-0.012679826,-0.00023177225,-0.0006735737,-1.0185055,-0.011276362,-0.020537896,96.40243,51.385754,24.874691,0.19951548,-0.5877895,-0.094711006,-2.6828625,1.1862758,-0.22214057,0.0,2.3206084,0.0,-0.515999,16.48878,0.9907177,-0.0331316,0.08870602,0.068971634,1,40.344498,0.5453244
106.28101,39.047523,16.56841,1,-1,1,-0.021071408,-0.0072009987,0.04107449,-1.3823982,-0.51854527,1.4539975,182.46024,50.07775,16.591946,1.1353396,0.7349856,-0.053295597,1.5587951,3.1025808,-1.4044524,0.0,0.0,19.058329,1.1032363,-0.7030559,7.110812,-0.0001411438,0.08068466,-0.08792496,0,25.755354,-0.69999456
141.93054,24.212055,24.10642,-1,-1,1,0.035523366,-0.10737921,0.031233763,2.5049171,-4.1292825,2.1290703,177.55487,96.042854,29.64842,-0.6944767,-2.0548103,0.66572005,-1.677294,1.1398473,-1.1529174,0.0,30.380041,0.0,-0.26672155,78.386894,-0.6169502,0.04094547,-0.23235655,-0.08488989,2,45.328125,1.3895124
115.343605,83.776054,7.3552637,1,-1,1,0.03227642,0.08385379,-0.03979241,1.9249806,3.4164853,-1.0438906,434.48834,220.30067,19.298653,2.0012975,1.6217052,1.6192968,-0.23902492,2.9464917,2.9420598,0.0,7.403402,56.563385,0.03986606,70.32781,83.952446,-0.12516212,-1.4592438,0.0045175552,1,26.378857,2.9588447
136.439,72.36191,69.62766,1,-1,1,0.000549632,0.007575861,-0.040877525,0.043432977,0.54410774,-2.4350917,158.57365,102.72372,205.21988,0.5621834,0.88672256,-1.7439606,-0.7346811,-1.6473027,1.5664052,0.0,0.0,0.0,0.809527,0.3884027,31.826138,0.011105061,0.08122587,0.043534756,1,116.558136,1.7849097
