lep1_pt,lep2_pt,lep3_pt,lep1_charge,lep2_charge,lep3_charge,lep1_d0,lep2_d0,lep3_d0,lep1_d0sig,lep2_d0sig,lep3_d0sig,lep1_e,lep2_e,lep3_e,lep1_eta,lep2_eta,lep3_eta,lep1_phi,lep2_phi,lep3_phi,lep1_ptvarcone30,lep2_ptvarcone30,lep3_ptvarcone30,lep1_topoetcone20,lep2_topoetcone20,lep3_topoetcone20,lep1_z0,lep2_z0,lep3_z0,jet_n,met,met_phi
70.63314,38.766537,22.442942,1,-1,-1,-0.07970158,0.08902596,-0.1539871,-1.6516352,5.228437,-8.8761425,71.707184,39.695282,22.660278,0.17416964,0.21845989,-0.13905688,-2.0444834,0.8300189,2.323663,6.1172543,0.0,3.661484,6.450882,0.34580603,4.266918,0.04915619,-0.039512634,-0.06564331,3,120.94166,0.81516796
15.378332,21.959793,33.781326,-1,1,-1,0.0018937896,0.008972444,-0.0011495553,0.08643452,0.572539,-0.08083044,69.89996,32.83777,79.688736,2.1949265,-0.9582538,-1.5030693,-1.6670225,0.2464363,2.3843732,3.2573225,0.0,0.0,8.101509,-0.66469544,0.6332946,0.044956207,0.104003906,0.045013428,2,106.78686,-1.6168324
17.43565,11.443515,8.911176,1,1,1,0.017252479,-0.0039187702,-0.085022114,0.9539039,-0.16014338,-2.92074,22.314405,22.608406,19.020235,0.731655,1.3027853,1.3913066,-0.75318706,-2.9617465,-2.0702312,0.0,4.071473,54.855717,0.5815764,13.686618,13.210434,0.056900024,0.040542603,0.60424805,9,52.23504,0.8397724
180.55777,103.54377,43.045055,-1,1,-1,0.22588454,-0.009976091,-0.0047468147,11.50318,-0.69902515,-0.26368967,505.27335,183.27357,57.933113,-1.6886246,-1.1726272,-0.8094324,1.7983991,1.6592972,-0.10799361,14.182371,0.0,0.0,63.9393,0.26455706,0.69353265,-0.2754364,0.034248352,0.069000244,1,53.064922,-0.7076353
21.982952,15.497732,7.6125693,-1,-1,-1,0.09615797,0.5408913,0.019441342,0.43775827,10.04472,0.6084995,90.35459,64.12547,17.832747,-2.0914838,-2.0983624,1.4953527,1.3318834,1.2107327,-2.1254866,4.8534555,6.879356,2.7528894,33.816395,28.213768,5.9207497,0.6163578,-0.3378353,0.071855545,1,66.230576,2.9467926
60.864113,7.683251,39.518547,1,1,-1,-0.022638496,-0.06777037,0.0052914694,-1.3483119,-1.4907236,0.38535714,64.57956,14.775573,131.84795,-0.34766006,-1.2713687,1.87477,0.57909536,0.7874354,1.4561893,0.0,0.0,0.0,0.12729535,1.6981992,0.27429327,-0.11692047,-0.6241913,0.028800964,5,118.26658,0.35422072
13.535011,18.850672,87.16338,-1,-1,1,-0.06568432,0.022820808,0.0111884745,-2.4214678,1.5380508,0.8813234,14.701538,20.961575,93.68921,0.41225126,-0.46890715,-0.38458356,0.27193725,3.053164,-1.9375052,6.174918,0.0,0.0,4.0026407,-0.42351112,-0.27909485,-0.2406578,-0.082473755,0.026081085,2,117.826385,-0.07564713
40.708645,8.834802,77.834076,1,1,1,0.011107841,1.0497954,-0.004026629,0.82094055,33.939835,-0.33118245,43.619892,8.837904,196.02084,0.3759727,-0.026499197,1.574814,-1.3542179,-2.6928132,-0.046311945,1.3315761,53.157593,0.0,-0.059187315,42.716038,-0.06655597,-0.031713486,0.21837234,0.07526779,3,71.74999,-0.17408685
22.770536,8.911419,31.964228,-1,-1,1,0.005601217,-0.15049997,-0.025438678,0.37378106,-1.1414688,-1.825923,27.8642,22.996675,49.52169,0.6569928,-1.6013128,-1.005258,-2.355052,0.38113406,0.72047913,14.202896,28.722101,0.0,11.361631,17.36734,-1.3070033,0.30203247,-0.018922806,0.04079151,3,38.300034,3.0613768
10.750416,60.125668,37.486263,-1,1,-1,0.075069755,0.0013962094,-0.017288422,1.4536772,0.113236375,-1.3291471,36.863686,89.76152,51.416023,-1.9034562,-0.9560437,-0.83740026,-2.3105164,-2.984629,1.205163,30.612396,0.0,0.0,17.957647,0.047005128,-0.9227543,1.2604103,-0.023180008,-0.020170212,1,87.85687,-2.541108
45.686825,21.934603,7.979427,-1,1,-1,-0.0015454973,0.00031431313,0.048868407,-0.08928703,0.019702496,1.0509765,188.4078,23.07546,40.122177,-2.0949106,-0.32114488,-2.2981718,-1.2331443,-1.1774265,-2.044447,0.0,0.0,19.565891,-0.47547337,-0.7464851,16.305216,0.048171997,-0.067554474,-1.1411858,1,144.55493,3.0202498
